#Alpha_N	lambda_HQ_Alpha
1.231178395693403e-07	1.533067110634661
1.231178395693403e-07	1.555739506768747
7.825150562145368e-07	1.576459750716025
1.441912272859733e-06	1.595118875757699
2.431005545210188e-06	1.615893690814989
3.255250789708013e-06	1.626335493530594
4.326768075984781e-06	1.64300160333863
5.233442439643602e-06	1.649334877993508
6.881932928639253e-06	1.657851769991093
8.942543487266476e-06	1.660253408943831
1.149770833992095e-05	1.664797892895833
1.322862284284291e-05	1.667145137083436
1.504196135969119e-05	1.669505913832994
1.71025770235531e-05	1.671907553629382
1.932804071526763e-05	1.672275315988952
2.171835498745213e-05	1.680914795861552
2.37789680986967e-05	1.68125531633051
2.51801865459134e-05	1.681486870502497
2.649897842658645e-05	1.68376592242387
2.757049826548056e-05	1.686004112142063
2.921898875447621e-05	1.688337735595272
2.97959619571951e-05	1.692555319390885
2.674625302098274e-05	1.694112467749335
2.37789680986967e-05	1.695683236842179
2.81474689155821e-05	1.698466259310706
2.081168317641065e-05	1.697254005935023
2.262502424587627e-05	1.697553664200802
2.51801865459134e-05	1.69797590991977
1.899834465956237e-05	1.699015466996673
1.504196135969119e-05	1.700422785589497
1.702015300962678e-05	1.700749685745887
1.306377481499028e-05	1.702157093354799
1.100315915112838e-05	1.70387769136962
7.129204970418196e-06	1.705298631540487
9.024972606427471e-06	1.705611910962484
5.810410537127804e-06	1.707141817008497
3.832223992426895e-06	1.708876036601362
4.738893250851035e-06	1.709025865523338
3.090402761855384e-06	1.710814568053776
3.337674803634327e-06	1.72322223186302
3.749799978500581e-06	1.733595930906659
3.255250789708013e-06	1.739697650545899
2.431005545210188e-06	1.745744799075129
1.606760300712362e-06	1.755914273588005
1.194635125846109e-06	1.768212882506015
1.606760300712362e-06	1.7827089075333
1.93645635641762e-06	1.795130192076937
2.183733503431244e-06	1.809598975635436
2.183733503431244e-06	1.832271371769522
2.183733503431244e-06	1.854943767903608
2.183733503431244e-06	1.88173849002134
2.10130948950493e-06	1.904397265421033
