# x, Abs
1.48512, 0.0068
1.51682, 0.02243
1.54851, 0.05461
1.58021, 0.13665
1.61191, 0.58848
1.6436, 0.5586
1.6753, 0.05352
1.70699, 0.03543
1.73869, 0.03948
1.77038, 0.04569
1.80208, 0.04646
1.83378, 0.04546
1.86547, 0.04399
1.89717, 0.04282
1.92886, 0.04275
1.96056, 0.04501
1.99225, 0.05177
2.02395, 0.06497
2.05565, 0.08572
2.08734, 0.12674
2.11904, 0.30107
2.15073, 0.3494
2.18243, 0.28389
2.21412, 0.45362
2.24582, 0.50548
2.27751, 0.34368
2.30921, 0.3172
2.34091, 0.29687
2.3726, 0.2898
2.4043, 0.29247
2.43599, 0.29812
2.46769, 0.30637
2.49938, 0.31493
2.53108, 0.33077
2.56278, 0.41324
2.59447, 0.5827
2.62617, 0.66524
2.65786, 0.63252
2.68956, 0.62358
2.72125, 0.61888
2.75295, 0.6133
2.78465, 0.65726
2.81634, 0.71095
2.84804, 0.76803
2.87973, 0.82896
2.91143, 0.89554
2.94312, 0.9069
2.97482, 0.88095
3.00652, 0.88375
3.03821, 0.909
3.06991, 0.95881
3.1016, 0.99658
3.1333, 0.97117
3.16499, 0.98107
3.19669, 1.03503
3.22839, 1.03154
3.26008, 0.9841
3.29178, 0.97392
3.32347, 0.97145
3.35517, 0.97798
3.38686, 0.98654
3.41856, 0.99528
3.45026, 1.00338
3.48195, 1.00952
3.51365, 1.01034
3.54534, 1.00228
3.57704, 0.99383
3.60873, 0.9913
3.64043, 0.9866
3.67212, 0.97608
3.70382, 0.9651
3.73552, 0.96304
3.76721, 0.9937
3.79891, 0.9915
3.8306, 0.97268
3.8623, 0.94335
3.89399, 0.89659
3.92569, 0.9083
3.95739, 0.92684
3.98908, 0.93884
4.02078, 0.9285
4.05247, 0.91449
4.08417, 0.90484
4.11586, 0.89869
4.14756, 0.89738
4.17926, 0.9079
4.21095, 0.9267
4.24265, 0.9496
4.27434, 0.94878
4.30604, 0.94043
4.33773, 0.93366
4.36943, 0.92935
4.40113, 0.92566
4.43282, 0.92333
4.46452, 0.91556
4.49621, 0.88451
4.52791, 0.85158
4.5596, 0.81698
4.5913, 0.7949
4.623, 0.78464
4.65469, 0.77484
